,article
596,"* FTSE 100 up 1.1 pct * Oil stocks on the rise * IWG falls after profit warning (Adds closing prices, quotes) By Kit Rees and Julien Ponthus LONDON, June 27 (Reuters) - The UK’s top share index rebounded on Wednesday as fresh optimism regarding U.S. trade policy fuelled risk appetite with the help of buoyant energy stocks. The blue chip FTSE 100 index started the day in negative territory but closed up 1.1 percent at 7,621.69 points. Tensions over trade between the U.S. and China have hit stock markets this week, with the FTSE sliding more than two percent on Monday after U.S. President Donald Trump announced plans to bar Chinese companies from investing in U.S. technology firms. A subsequent U.S. decision to soften its tone and use strengthened security reviews rather than imposing China-specific restrictions was greeted with relief on Wall Street. “Firmly strapped into the trade war rollercoaster, the markets saw a chunky upswing on Wednesday afternoon as Trump appeared to pull back from the brink”, said Connor Campbell, a financial analyst for Spreadex. Energy stocks added the most points to the index as crude prices climbed on supply disruption in Canada and after U.S. officials told importers to stop buying Iranian crude from November. Miners also lift the FTSE 100 higher with Rio Tinto and BHP up 2 percent and 2.7 percent. Among individual stocks, shares in Carnival continued a recovery from a sell-off on Monday prompted by weak guidance in its results. The recovery was boosted by an upgrade from Berenberg to “buy” from “hold” and the stock ended the day up three percent. “We believe that the backdrop of strong consumer confidence continues to support the industry and, while we acknowledge the incoming supply, we do not see any evidence that supports the sell-off in the shares since the Q2 2018 numbers,” analysts at Berenberg said in a note. Carnival’s shares were up 1.8 percent. Shares in takeover target IWG, the British workspace firm, fell 2.8 percent after it warned on profit, blaming the cost of opening new space and a weak performance in Britain. Traders said the takeover interest from private equity firms Terra Firma and TDR Capital among others were supporting the stock despite the profit warning. (Reporting by Kit Rees, Editing by Peter Graff, William Maclean)"
597,"Whether it's a perfectly tender steak or a homemade version of Starbucks' egg bites, the ChefSteps Joule Sous Vide makes cooking gourmet dishes effortless.During Amazon Prime Day this year (July 15-16), Prime members can save 30% on the ChefSteps Joule Sous Vide.Here's the full list of all the best kitchen deals running on Prime Day, including major discounts on Instant Pots, Vitamixes, and more.You can find all Prime Day 2019 coverage from Insider Picks here, and a one-stop master list of all the best Prime Day 2019 deals here.The ChefSteps Joule Sous Vide is on sale during Prime Day festivities. The model with a white body and a stainless-steel cap and base is marked down from $199 to $139 (you save $60), and the all-white model is $125, which is down from its usual $179 (you save $54.)Buy the all-white ChefSteps Joule Sous Vide from Amazon for $125 (you save $54) or the white and stainless steel model for $139 (you save $60)



Subscribe to our newsletter.
 Find all the best offers at our Coupons page.
 Disclosure: This post is brought to you by the Insider Picks team. We highlight products and services you might find interesting. If you buy them, we get a small share of the revenue from the sale from our commerce partners. We frequently receive products free of charge from manufacturers to test. This does not drive our decision as to whether or not a product is featured or recommended. We operate independently from our advertising sales team. We welcome your feedback. Email us at insiderpicks@businessinsider.com."
598,"A senior official of China's central bank told a briefing on Tuesday that the yuan's exchange rate is set by the market, rebutting President Donald Trump's claim a day earlier that the country was manipulating its currency. China is not manipulating the yuan, the official, Li Bo, is quoted as saying in a report in the South China Morning Post. He told reporters in Beijing that the country would not use its currency as a weapon in a trade war. ""We won't use policy to devalue the yuan and we won't use the exchange rate as a weapon to react to external pressures from trade conflicts,"" the report quotes Li as saying. Li, who did not name Trump directly, is director of monetary policy at the People's Bank of China. On Monday, Trump told reporters from Reuters in an interview that China was manipulating the yuan lower to make up for tariffs imposed by the U.S. on its goods. ""I think China's manipulating their currency, absolutely,"" he said. The yuan has fallen sharply against the dollar as the trade war between the two nations escalated this summer. Earlier this month, the dollar was trading at nearly 7 against the yuan, a level not seen in a decade. On Tuesday, the dollar/yuan trade was 6.86. The dollar has strengthened as the Federal Reserve raises interest rates. Trump has accused China of currency manipulation in the past. A weaker currency makes a country's goods more attractive to overseas buyers, so forcibly pushing it down would offset any effects from tariffs imposed by others. In an interview with CNBC in July, Trump said China's ""currency is dropping like a rock, and our currency is going up, and I have to tell you it puts us at a disadvantage."" A weakening currency also has a downside: capital flight out of the country, something China has been trying to stop. Chinese officials are expected to be in Washington later this week to renew trade talks with the U.S. as fresh U.S. tariffs on $16 billion of Chinese goods are supposed to kick in Thursday. China has pledged to retaliate. Read the South China Morning Post story here."
599,"The National Endowment for the Arts has announced its 2019 Jazz Masters, and it’s a diverse group. The honorees are the composer and bandleader Maria Schneider, the South African pianist Abdullah Ibrahim, the pianist and vocalist Bob Dorough and the critic Stanley Crouch. Last year, the Jazz Masters program appeared imperiled, as the Trump administration proposed eliminating the N.E.A. entirely. But the equilibrium has been restored, at least for now: The winners will each receive a $25,000 prize, as usual, and they will be celebrated according to custom in a ceremony at the Kennedy Center on April 15. Ms. Schneider, 57, is the youngest woman ever to be selected for the award, and the rare recipient who’s still in the prime of her career. Known for her ambitious compositions and dazzling orchestral work, Ms. Schneider, a Minnesota native, is a five-time Grammy Award winner and a perennial presence atop the DownBeat critics poll. Mr. Ibrahim is the first African-born musician to be chosen for the award; he moved to the United States in the 1960s, eventually becoming an American citizen. Since then, he has drawn from the musical mélange of his hometown, Cape Town; the influence of earlier pianists like Thelonious Monk and Duke Ellington; and the avant-garde innovations that greeted him when he first arrived in New York City. Mr. Dorough, whose career in jazz spanned more than 60 years, will become the rare posthumous recipient of the award. He was best known for the music to “Schoolhouse Rock,” but his compositions also appeared on recordings by the likes of Miles Davis and Blossom Dearie. Mr. Dorough was notified earlier this year that he had been selected to receive the award, but he died soon after. (Jazz Masters must be living at the time of their nomination.) Mr. Crouch, 72, is this year’s recipient of the A. B. Spellman N.E.A. Jazz Masters Fellowship for Jazz Advocacy. He began his career as an avant-garde drummer and poet before embracing a neoclassical ideology and establishing himself as one of the most provocative and influential writers on jazz. A friend and mentor of Wynton Marsalis, he played a central role in the founding of Jazz at Lincoln Center in the late 1980s. Mr. Crouch’s books include the essay collection “Considering Genius,” the novel “Don’t the Moon Look Lonesome?” and “Kansas City Lightning: The Rise and Times of Charlie Parker.”"
600,"The Chinese government confirmed Sunday that it is holding Interpol President Meng Hongwei as it investigates him on ""suspicion of violating the law,"" saying he is ""under the supervision"" of an anticorruption watchdog tied to the Chinese Communist Party. The Central Commission for Discipline Inspection posted the announcement online, but has provided no other information regarding Meng's detainment or on what charges he is suspected. A French judicial official said last week that Meng, who also serves as vice minister of the Chinese Ministry of Public Security, went missing while visiting his native country on Thursday. The New York Times reports that Interpol demanded answers from the Chinese government Saturday, adding that the agency ""looks forward to an official response from China’s authorities to address concerns over the president’s well-being."" Meng's wife, Grace MengGrace MengLawmakers urge DNC to name Asian American debate moderator Reuniting families is a critical step in diplomacy with North Korea Appetite for Democratic term limits fizzling out MORE, told reporters in Lyon, France, earlier Sunday that her husband vanished while in China and sent her an emoticon of a knife, which she said indicated he was at risk. Grace Meng has said she has not otherwise heard from her husband since he left Lyon, where they had been living and Interpol is headquartered, in September. Interpol said in a statement Sunday that it had received Meng's resignation as president.  Statement by the INTERPOL General Secretariat on the resignation of Meng Hongwei. pic.twitter.com/c2daKd9N39 View the discussion thread. The Hill 1625 K Street, NW Suite 900 Washington DC 20006 | 202-628-8500 tel | 202-628-8503 fax The contents of this site are ©2019 Capitol Hill Publishing Corp., a subsidiary of News Communications, Inc."
601,"OSAKA, June 29 (Reuters) - Novatek PAO, Russia's biggest private gas producer, has agreed to sell a stake in its upcoming project to liquefy natural gas in Russia, the Arctic LNG 2, to Japan's JOGMEC and Mitsui & Co, the Japanese government said in a statement on Saturday. The statement did not provide details on the stake or investment amount. Arctic LNG 2 will become the third liquefied natural gas (LNG) project for Novatek, which hopes to match Qatar in the super-cooled gas production. Novatek currently holds 60% of the yet-to-be-built Arctic LNG 2, while France's Total SA, China National Oil and Gas Exploration and Development Company (CNODC) and CNOOC each hold a 10% stake in the project. (Reporting by Kiyoshi Takenaka and Katya Golubkova in OSAKA Editing by Chang-Ran Kim )"
602,"June 12 (Reuters) - Coherus BioSciences Inc said on Monday the U.S. Food and Drug Administration denied the approval of its biosimilar for Amgen Inc’s Neulasta, which fights infections in cancer patients. The FDA’s complete response letter requested for a re-analysis of certain data and asked for additional manufacturing information. (Reporting by Divya Grover in Bengaluru; Editing by Saumyadeb Chakrabarty)"
603,"NEW YORK (Reuters) - The benchmark S&P 500 touched a record high on Tuesday and equaled its longest-ever bull-market run, buoyed by strong earnings reports in the consumer sector and relative calm in the trade dispute between the United States and China.  The S&P 500 .SPX rose as much as 0.6 percent to a record intraday high of 2,873.23 points, topping its previous record high of 2,872.87 on Jan. 26, though it closed below both those marks.  Late in the day, stock market futures fell after U.S. President Donald Trump’s former personal lawyer, Michael Cohen, pleaded guilty to campaign finance violations and other charges, saying he made payments to influence the 2016 election at the direction of a candidate for federal office.  “The stock market loves the Trump agenda. Anything that’s damaging to Donald Trump’s agenda is not going to be good for the stock market,” said Stephen Massoca, Senior Vice President at Wedbush Securities in San Francisco.  The index’s bull-market run is now 3,452 days old and on Wednesday would become the longest such streak in history, at least for some market watchers.  Trade-sensitive industrial stocks rose for the fourth consecutive session as investors remained optimistic the United States and China could move closer to settling their trade dispute. The S&P 500 industrial index .SPLRCI rose 0.8 percent.  The S&P consumer discretionary index .SPLRCD climbed 0.9 percent as shares of off-price retailer TJX Companies Inc (TJX.N) rose on strong results and Toll Brothers Inc’s (TOL.N) encouraging quarterly report boosted shares of homebuilders.  “We’ve got good momentum, which is fundamentally justified by the strong economy and better earnings,” said Kevin Caron, senior portfolio manager at Washington Crossing Advisors in Florham Park, New Jersey. “Investors still seem relatively optimistic about growth, and you’re seeing that expressed in the market today.”  The Dow Jones Industrial Average .DJI rose 63.6 points, or 0.25 percent, to 25,822.29, the S&P 500 .SPX gained 5.91 points, or 0.21 percent, to 2,862.96 and the Nasdaq Composite .IXIC added 38.17 points, or 0.49 percent, to 7,859.17.  The small-cap Russell 2000 index , which is less affected by global tariff disputes than its large-cap peers, ended the session up 1.1 percent at a record closing high.  The S&P 500 energy index .SPNY rose 0.5 percent and the S&P 500 materials index .SPLRCM gained 0.4 percent, in tandem with higher prices for oil and metals.  Helping commodity prices was a drop in the dollar after Trump said he was “not thrilled” with the Federal Reserve for raising rates and that the central bank should do more to help him boost the economy.  The criticism came ahead of the release of the Fed’s minutes of its August policy meeting on Wednesday, which is expected to reaffirm its confidence in the U.S. economy and its commitment to future rate hikes.  Toll Brothers shares jumped 13.8 percent after the homebuilder reported better-than-expected quarterly results. Shares of its industry peers PulteGroup (PHM.N), Lennar (LEN.N) and D.R. Horton (DHI.N) also rose between 3.8 percent and 5.5 percent.  TJX shares climbed 4.7 percent, ending the session at a record closing high, after the retailer topped quarterly comparable-store sales estimates and raised its full-year earnings forecast.  But shares of Coty Inc (COTY.N) tumbled 7.1 percent after the beauty products maker missed sales estimates for the first time in six quarters.  Advancing issues outnumbered declining ones on the NYSE by a 1.88-to-1 ratio; on Nasdaq, a 2.32-to-1 ratio favored advancers.  The S&P 500 posted 43 new 52-week highs and no new lows; the Nasdaq Composite recorded 164 new highs and 32 new lows.  Volume on U.S. exchanges was 5.86 billion shares, compared with the 6.49 billion average over the last 20 trading days.  (Graphic: S&P 500 sets new all-tme high: reut.rs/2LdK88Q)  Reporting by April Joyner; additional reporting by Shreyashi Sanyal in Bengaluru and Noel Randewich in San Francisco; Editing by Lisa Shumaker, Susan Thomas and Chris Reese"
604,"BERLIN (Reuters) - Germany’s Angela Merkel called for a spirit of compromise on reforming the euro zone at a meeting on Thursday with French President Emmanuel Macron, who pressed for solidarity among members of the currency union. Before their talks, the two said they would present a united front at June meeting of European Union leaders on a range of issues including reform of the 19-member euro zone, which Merkel said they agreed was “not yet sufficiently crisis-proof”. France and Germany, which account for around 50 percent of euro zone output, are essential to the reform drive. Stressing the need for compromise, Merkel said: “We each bring some different facets but I think the sum of our proposals will make for a good result in the end.” However, their meeting took place against a backdrop of grumbling by lawmakers from Merkel’s conservative bloc, wary that Macron’s call for more solidarity could see German taxpayers’ money used to fund profligate member states. “No monetary union can exist without elements of convergence,” the French leader told a news conference with Merkel in the German capital before their talks. “The most important thing is not to react on such and such instrument at this stage, but to be sure that we share the same goals and to have a joint political objective,” he added. At pains to present a united front despite their underlying differences and distinct styles - Merkel’s cautious, no-nonsense approach contrasts with Macron’s bold rhetoric - they stressed they would tackle a range of issues, including migrant policy. Macron reiterated a proposal made at the European parliament to subsidize local authorities who welcomed refugees. “We can’t let this or that country alone carry the burden of hosting and integrating (migrants),” he said. On a European asylum system, Merkel said the two leaders agreed on many points, and concurred that offering incentives was a better approach than talking about penalties. Macron’s vision also includes turning Europe’s existing bailout fund into a European Monetary Fund (EMF), to act as a buffer in any future financial crises in the bloc, which was nearly torn apart in a debt crisis that took hold in 2009. He has also suggested the euro zone have its own finance minister and, at one point, floated the idea of a budget for the currency bloc worth hundreds of billions of euros. Germany’s Social Democrats (SPD), Merkel’s junior coalition partner, sympathize with Macron’s call for solidarity. They want him to be rewarded for efforts to reform the French economy, well aware that a big chunk of French voters remain susceptible to far-right and far-left populists skeptical about the EU. But Merkel’s larger conservative bloc insists on what they call the principle of ‘liability’, whereby individual member states carry responsibility for their own economic risks. Merkel said she was very optimistic about completing a banking union. Berlin’s focus has long been on banks first reducing the risks they take in lending. “We are also ready, perhaps not in the immediate future but in the longer term, to agree on a common deposit guarantee system,” said Merkel. “But we want liability and risks to be kept together.” Underlining a sense of urgency for reform in Brussels, European Commissioner for Economic and Financial Affairs Pierre Moscovici warned momentum could be lost for deepening euro zone integration if decisions are not taken at the June summit. “We are some way from reaching a consensus on the priorities and method for moving the euro area forward and time is running out,” Moscovici said in a speech at the Peterson Institute for International Economics in Washington. Additional reporting by Madeline Chambers and Thomas Escritt in Berlin and by Michel Rose in Paris; Editing by Richard Balmforth"
605,"At the recent World Economic Forum in Davos, one of the big topics of conversation was education. Despite billions poured into programmes in developing countries to educate booming populations, the budgets are just scratching the surface. UNESCO estimates that the world would have to increase education development spending to $39 billion a year, or about three times current levels, if it was to have any real effect. Given that this funding is unlikely to arrive any time soon – and given President Trump’s drastic cutting of funding to UN projects – others are looking in to how technology can play a role. This is exactly what new startup Matterfund plans to tackle. The SF/London-based non-profit has taken a leaf out of the Crunchbase and AngelList playbook, to, as it says, “turn on the lights” for those working in education development. The idea is to surface all the programmes out there, and this make the whole thing more transparent and efficient. This is a non-profit intelligence platform and social graph seeking to match top education initiatives to funders, partners and system leaders. Nathan Martin, Matterfund’s ED of Strategy says “many insights are locked away in 100 page PDFs. We want to democratise education intelligence, break insights out into a real-time Crunchbase-like platform, so people and funders have a better sense of their surroundings.” In the last six months, they built and piloted their platform in South Africa, enrolling 132 organizations, including 15 funders representing $149M in educations funds, and are being supported and nurtured by the WEF’s Global Agenda Council on Education. They are already getting interest. Melanie Smuts, CEO and Founder of Streetlight Schools, a Johannesburg-based school serving underserved communities says Matterfund’s platform will “make it much easier to find and connect with organisations who could help support for our work. Matterfund would let me spend less time on fundraising and more time in our classrooms.” This past July, the Council partnered with innovation agency Entangled Solutions to put together the Matterfund team and validate the pilot. “We are focused on quality product,” said Kyle Cureau, Matterfund’s interim CEO. “We started with 150 hours of field interviews and we continue to shape our development around the need of our users.” Matterfund was initially funded by Dino Varkey, head of GEMS Education, and an ally of the Clinton Foundation. Pearson Education provided strong support and additional funding. Sir Michael Barber of Pearson serving as chair of the Global Agenda Council and seconding Martin to the project. Members of the steering group (including Joel Klein (Oscar Health), J Puckett (BCG) and Shiv Khemka (The Global Education and Leadership Foundation) donated time and personal funding to the project. They are now expanding Matterfund’s intelligence tools to the Middle East, India, and Pakistan and have $130M in total funding represented and over 1,300 profiles across 19 impact topics. It’s fascinating to see that Crunchbase/AngelList could inspire such a project..."
606,"After looking at the best of the year, Insider revisits the movies we had high hopes for in 2019 that let us down.A lot of fans were bummed by a lukewarm conclusion to the ""Unbreakable"" trilogy. Despite Sony getting two bankable stars in Tessa Thompson and Chris Hemsworth, the ""Men in Black"" revival fell flat.Visit Insider's homepage for more stories.2019 gave us some really good movies, but it also brought a lot of remakes, sequels, and adaptations people weren't interested in seeing. Insider rounded up the movies audiences were looking forward to this year that missed the mark. We're not talking about the worst movies of 2019. This list looks at the films that we had high expectations for that didn't live up to the hype and underwhelmed at the box office.  If there's any lesson that can be learned from this year, it's that Hollywood needs to focus on originality. From failed attempts at reviving long gone franchises to big actors starring in complete misfires no one asked for, here's what disappointed us the most at theaters.







 



""The Curse of La Llorona"" was not as scary as fans hoped.










Despite being a box-office hit, the horror film was not well-received by critics or audiences. Filled with hit-jump scares and moments that delivered chuckles instead of frights, more was expected from a film that was based on the terrifying Mexican legend about a woman drowning her children. No one's going to want to watch this film again.





""Terminator: Dark Fate"" was a huge box-office misfire.










""Terminator: Dark Fate"" was the best movie in the franchise since ""Terminator 2."" It even reunited original stars Linda Hamilton and Arnold Schwarzenegger. It was everything fans could have wanted from a ""Terminator"" movie with good reviews, so it's a shame more didn't come out to see it. ""Dark Fate"" makes our list because it was one of the biggest box-office letdowns of the year and should've kicked off a new franchise. Instead, the R-rated ""Dark Fate"" only brought in $29 million opening weekend and could lose well over $100 million for Paramount, Skydance Media, and Fox (now Disney), which handled international distribution for the film. What went wrong? What may have upset fans is that the sixth movie scrapped the last three films from canon. The past three times audiences have shown up for ""Terminator"" films, they frankly haven't been very good. (Remember the last film, ""Genisys""?) Even with original director James Cameron back as a producer, that may not have been enough of a nostalgia sell in order for fans to take a risk on going to theaters. The failure of ""Dark Fate"" may be the end of the franchise on the big screen moving forward. You can read our review of ""Dark Fate"" here. 



 



""Doctor Sleep"" showed that not every Stephen King novel needs to be adapted.










""It"" worked for Warner Bros., so why not try and bring back another Stephen King classic for audiences to relive all over again? ""Doctor Sleep"" is a strange mix between book adaptation and ""The Shining"" sequel. It tried delivering too much in an attempt to pay homage to the book and Stanley Kubrick's film while also trying to set itself apart with a third act that throws the source material out the window.We're fine with giving us a new ending. I thought Paramount's ""Pet Sematary"" did a clever job at remixing its source material earlier this year. But Warner Bros.' adaptation leaned too heavily on simply regurgitating a lot of Kubrick's film toward the end to give us something we've already seen before. The film also gave us an unnecessary Jack Nicholson look-alike that felt too weird. We're not sure anyone needed Danny Torrance (Ewan McGregor) doing an impression of Nicholson's iconic ax chase, either.Audiences agreed as the film bombed opening weekend. According to Deadline, the film is set to lose Warner Bros. $20 million.You can read our review here. 





""The Kitchen"" was the worst box-office opening for both Melissa McCarthy and Tiffany Haddish.










It's tough to believe these three women Kathy (Melissa McCarthy), Ruby (Tiffany Haddish), and Claire (Elisabeth Moss) — two who are squeamish at the sight of blood — are able to take over the Irish mob after their husbands are put away in jail for a robbery.The transitions of all three women into slightly reckless killers feels unearned and a bit empty in a convoluted plot. Haddish and McCarthy in particular don't sell that they're two mob wives and, in a confusing turn, Moss' character almost instantly transforms from a timid, abused woman into a hardened killing machine without little development.""The Kitchen"" often feels like you're watching a parody of a gangster movie. Despite the star power, the film bombed, becoming the worst opening weekend at the box office for McCarthy and Haddish. According to The Hollywood Reporter, it could lose ""tens of millions"" for Warner Bros.



 



""Serenity"" was a waste of star talent you may have missed all together.










Trailers looked like ""Serenity"" could've been a promising thriller with Academy Award winners Matthew McConaughey and Anne Hathaway. But when the reviews came out, it was trashed by critics as a disaster.The first sign that ""Serenity"" wasn't going to work should've been its January release date. The film was pushed back twice from an original awards season run to a time that's notoriously known as a dump month for movies. Aviron Pictures must have known what they had on their hands because they stopped promoting the film after failed test screenings with press and viewers. The movie opened to the worst-ever box-office opening for Hathaway with $4.5 million. 





Jennifer Aniston and Adam Sandler's reunion in ""Murder Mystery"" was painful to watch.










Jennifer Aniston and Adam Sandler reteaming for a movie for the first time since 2011's ""Just Go With It"" sounded like a fantastic idea, but ""Murder Mystery"" is pretty unwatchable.The two star as a couple who go on a long overdue honeymoon. Unfortunately, they wind up on a yacht caught up in a murder mystery. Like many other Sandler films, this one is filled with low-brow humor. Although Aniston and Sandler look like they're having fun, they're the only ones as the film drags along for a dull 90 minutes.Apparently, it doesn't matter how bad the film was reviewed. Nearly 31 million Netflix accounts tuned into the film the weekend it debuted and it was enough for the streaming service to warrant a sequel.



 



""Hellboy"" proved that you just can't stick a popular star into any old remake.










Did anybody ask for a ""Hellboy"" remake? Once Guillermo del Toro, who directed the first two movies, wasn't attached to the franchise, there was little interest in why fans should get invested in a reboot when the first two were well-liked among fans. Even with the popular David Harbour (""Stranger Things"") taking over the role, the re-imagining was a huge misfire. Despite a passionate performance from Harbour, this remake was forgettable. Critics reamed the film for being flat out awful, dragging on and overcomplicating a simple story, and having an overabundance of CGI.  





""The Goldfinch"" didn't translate to the big screen.










Many were excited for the adaptation of Donna Tarrt's Pulitzer Prize-winning novel because of its stacked cast (Nicole Kidman, Jeffrey Wright, and Ansel Elgort) along with Oscar-nominated director John Crowley, but it was another big miss.Insider's Kim Renfro said the movie's non-linear storytelling robs the story of cohesion and make its emotional punches fall by the wayside. The movie also feels laboriously long while failing to properly develop its characters .Most curiously, the film fails to answer every question it presents even though they're resolved in the book. Unless you're familiar with the novel, you may be confused with the film's conclusion.""The Goldfinch"" opened to $2.5 million opening weekend, the sixth-worst opening of all time for a release that large. On a reported $45 million budget before marketing, the film has only grossed $9.7 million worldwide.You can read Renfro's analysis of ""The Goldfinch"" here.



 



""Glass"" didn't deliver the film people were expecting.










I liked ""Glass"" a lot more than others. But I'm aware that it's not what people expected going into the movie.M. Night Shyamalan surprised audiences when it was revealed 2016's ""Split"" was a secret sequel to 2000's ""Unbreakable."" Expectations were extremely high that fans would get a big showdown from this year's ""Glass"" between Samuel L. Jackson, Bruce Willis, and James McAvoy's characters.That wasn't the case. Instead, the three spent much of their time locked up in a psychiatric hospital throughout the film delivering what may have felt like to many as a bait and switch.You can read our review here.





""Gemini Man"" looks gorgeous, but the story was awful.










""Gemini Man"" looked like it was going to be something really special. Not only was Will Smith playing dual roles as his young and old self, but director Ang Lee (""Life of Pi"") shot the movie at 120 frames per second (fps) for a film that should have been an in-theater experience unlike any other.Unfortunately, the film has two things working against it. The first is that no theater has the technical capabilities of screening the film the way Lee intended the film to be seen on a 4K projector at 120 fps and in 3D. The second is that the story was too dull to match the sharp visuals on screen. The film failed to pick up steam stateside or in China and faces a $75 million loss. You can read Business Insider's review here. 



 



""Men in Black International"" should've been the start of a new franchise.










Sony didn't have Will Smith and Tommy Lee Jones back for another time around, but that shouldn't have mattered. The studio had built-in anticipation for the film by having Chris Hemsworth and Tessa Thompson working together.These were two people fans wanted to see together after Marvel's hilarious ""Thor: Ragnarok"" had the two team up. All Sony needed to do was deliver a film with a decent story. It was too bad that this ""MIB"" requel (a franchise reboot staged as a sequel) didn't live up to the hype. Thompson and Hemsworth do what they can with a predictable, uninspired script, but it looks like there was more effort put into making sure the gadgets and tech looked sleek than delivering an interesting enough story to match.More time is spent telling Hemsworth's Agent H throughout the film that he seems different (but no one can put their finger on exactly what has changed about him) than fully explaining the film's mystery villains. The addition of a tiny alien sidekick, voiced by Kumail Nanijiani (""Stuber""), weighed this one down as it seemed like nothing more than a corporate mandate to appeal to kids. Even Sony's studio boss, Tom Rothman, told sister site Business Insider there probably ""was not a strong enough idea in the story."" Audiences were probably quick to recognize that and as word of mouth spread, decided to wait for the film's home release instead. The fourth film had the worst opening in the franchise's history and grossed less worldwide than any of the three films before it. 





The X-Men went out with a dud in ""Dark Phoenix.""










Fox's final big ""X-Men"" movie wasn't the worst in the franchise, but it left a lot to be desired as the film revisited the Jean Grey phoenix story line that was previously brought to screen in 2006's ""X-Men: The Last Stand."" The movie mainly suffered because of poorly fleshed-out villains and a completely reshot ending. Viewers probably would've gotten better versions of both if it wasn't for another movie. In an interview, James McAvoy told Yahoo Movies UK the movie's entire ending was changed in order to avoid similarities to another unnamed superhero movie. According to another interview with Tye Sheridan, the film's vague alien villains were supposed to be shape-shifters named Skrulls. If that name sounds familiar it's because those are the aliens who appear in the Marvel Cinematic Universe and who were a big part of Disney's ""Captain Marvel."" It's worth noting Disney acquired 20th Century Fox ahead of the film's release and was in charge of its final marketing and theatrical release. The movie had the lowest box-office gross worldwide of any ""X-Men"" film with $252 million worldwide and is set to lose over $100 million.It's unfortunate because this is possibly the last outing with some of these actors before Disney eventually reboots the property into the Marvel Cinematic Universe. The ""X-Men"" really helped define and influence the direction of popular superhero movies today.You can read our review of ""X-Men: Dark Phoenix"" here.




 





 
 Read the original article on INSIDER. Copyright 2019.
 
 

 Follow INSIDER on Facebook.
 

 
 Follow INSIDER on Twitter."
607,"(Reuters) - The U.S. Secret Service has agreed to pay $24 million to settle a 17-year-old federal lawsuit filed by a group of black agents who accused the agency of racial discrimination in its employment practices. The agreement settles a protracted legal battle that began in 2000 when 10 black agents filed a lawsuit in a Washington D.C. federal court, claiming the Secret Service had violated the civil rights of black agents for decades while ignoring their complaints, court records showed. “Had the matter gone to trial, it would have required that we re-live things long past, just at a time when the Secret Service is on the mend,” Secretary of Homeland Security Jeh Johnson said in a statement. “This settlement is also, simply, the right thing to do.” The 10 agents accused the Secret Service of racial discrimination in how it selected agents for promotions. They also claimed the agency conducted unfair hiring, assignment and transfer practices while fostering a racially hostile workplace, court documents showed. A group of more than 100 agents joined the lawsuit over time, the Washington Post reported. Under the resolution, the Secret Service could pay as much as $300,000 each to the agents who originally sued the agency. “At long last . . . black Secret Service agents will not be constrained by the glass ceiling that held back so many for so long,” Jennifer Klar, a lawyer for the agents, told the newspaper. The Secret Service admitted no wrongdoing, but agreed to reform its employment and promotion practices, the complaint process for employees and how it keeps records, the agreement said. The agency, charged with protecting the president and his family, has dealt with a lengthy list of problems during the past few years, including a prostitution scandal in Colombia and a high-profile security lapse when a man jumped the fence surrounding the White House complex and ran into the mansion armed with a knife. Reporting by Brendan O'Brien in Milwaukee; Editing by Mark Trevelyan"
608,"BERLIN (Reuters) - A transition period offered to Britain by the European Union in Brexit negotiating guidelines it issued on Friday is the only way to avoid the talks failing, an ally of German Chancellor Angela Merkel said. In the guidelines, the EU offered Britain talks this year on a future free trade pact but made clear that London must first agree to the bloc’s demands on the terms of Brexit. The document, seen by Reuters, sets tough conditions for any transition period, insisting Britain must accept many EU rules after any such partial withdrawal. Detlef Seif, the deputy EU spokesman for Merkel’s conservative parliamentary bloc, said there were effectively only 15 months for the negotiations and this was insufficient time to wrap up Britain’s exit from the bloc. “Without transitional provisions, the negotiations would be doomed to failure from the start,” Seif told Reuters. “The proposal provides the necessary room and flexibility to negotiate reasonably and to reach high-quality arrangements,” he said of the guidelines, which may be revised before leaders of the remaining 27 EU states endorse them at an April 29 summit. “The more access to the internal market Britain wants, the greater the trade-off and so the more Britain must submit to EU law,” said Seif, warning Britain not to try to divide the bloc by negotiating with individual member states. “Should this transpire, it would be the end of the EU’s good behavior and willingness to compromise, which can clearly be seen in the draft guidelines,” he added. Steffen Seibert, Merkel’s spokesman, told reporters on Friday that negotiations about a future free trade deal between Britain and the EU could take place only after the contours of the Brexit divorce talks were clear. Bavarian premier Horst Seehofer said it was important to quickly establish new parameters for trade with Britain, his state’s third biggest European trading partner. “We must establish a new basis for the relationship in the Brexit negotiations as quickly as possible, and do everything we can to avoid new trade barriers,” he wrote in a commentary to be published next week in German magazine vbw-Unternehmermagazin. Reporting by Paul Carrel; Editing by Andrew Roche"
